LandisData "ForC Succession"

ClimateTable  << only MAT for each ecoregion
>>Time	Eco	AvgT	
>>Step		(C)	
>>-------------------------
0	eco1LOSA	2.35
0	eco1SALO	2.35
0	eco2SALO	1.25
0	eco3LOSA	1.01
0	eco3SALO	1.01
0	eco4LOSA	0.03
0	eco4SALO	0.03
0	eco5LOSA	-1.23
0	eco5SALO	-1.23
0	eco6LOSA	-0.76
0	eco6SALO	-0.76
0	eco7LOSA	-1.99
0	eco7SALO	-1.99
0	eco8LOSA	-2.25
0	eco8SALO	-2.25
0	eco9LOSA	-2.55
0	eco9SALO	-2.55
0	eco10LOSA	-2.11
0	eco10SALO	-2.11
1	eco1LOSA	5.15
1	eco1SALO	5.15
1	eco2SALO	4.08
1	eco3LOSA	3.74
1	eco3SALO	3.74
1	eco4LOSA	2.85
1	eco4SALO	2.85
1	eco5LOSA	1.68
1	eco5SALO	1.68
1	eco6LOSA	2.25
1	eco6SALO	2.25
1	eco7LOSA	1.02
1	eco7SALO	1.02
1	eco8LOSA	0.79
1	eco8SALO	0.79
1	eco9LOSA	0.45
1	eco9SALO	0.45
1	eco10LOSA	0.80
1	eco10SALO	0.80
40	eco1LOSA	7.86
40	eco1SALO	7.86
40	eco2SALO	6.80
40	eco3LOSA	6.50
40	eco3SALO	6.50
40	eco4LOSA	5.63
40	eco4SALO	5.63
40	eco5LOSA	4.48
40	eco5SALO	4.48
40	eco6LOSA	5.04
40	eco6SALO	5.04
40	eco7LOSA	3.87
40	eco7SALO	3.87
40	eco8LOSA	3.62
40	eco8SALO	3.62
40	eco9LOSA	3.35
40	eco9SALO	3.35
40	eco10LOSA	3.66
40	eco10SALO	3.66
70	eco1LOSA	10.16
70	eco1SALO	10.16
70	eco2SALO	9.11
70	eco3LOSA	8.85
70	eco3SALO	8.85
70	eco4LOSA	8.00
70	eco4SALO	8.00
70	eco5LOSA	6.88
70	eco5SALO	6.88
70	eco6LOSA	7.43
70	eco6SALO	7.43
70	eco7LOSA	6.31
70	eco7SALO	6.31
70	eco8LOSA	6.05
70	eco8SALO	6.05
70	eco9LOSA	5.81
70	eco9SALO	5.81
70	eco10LOSA	6.07
70	eco10SALO	6.07
